height [m],density [kg/m^3],pressure [N/m^2],temperature [K],speed_of_sound [m/s],dynamic_viscosity [N*s/m^2],kinematic_viscosity [m^2/s]
28000,0.025076203455147914,1616.190886755234,224.52720771599147,300.3858370748296,1.46457143126442e-05,0.0005840483125302434
29000,0.021478356235100592,1390.4158993899175,225.5183008428433,301.0480787054557,1.4699296331214403e-05,0.0006843771548584505
30000,0.01841010086243616,1197.026277492562,226.50908361133006,301.70866004207295,1.4752758669594572e-05,0.0008013404586878715
31000,0.01579153350648304,1031.256628956436,227.4995561672109,302.3675920632595,1.4806101873968686e-05,0.000937597470688341
32000,0.0135550971963344,889.0602479246916,228.48971865615363,303.02488562498957,1.4859326487451799e-05,0.0010962168896487213
33000,0.011572986251431387,767.3052481371369,230.97279942645787,304.6669771311271,1.499235535666587e-05,0.001295461260468668
34000,0.009887354616041608,663.4093414810768,233.74351924323315,306.4889023435244,1.5140049538777844e-05,0.0015312538213420677
35000,0.008463332905336525,574.5912625450029,236.51337209466055,308.29949587115823,1.5286921438325325e-05,0.0018062531167462655
36000,0.00725788148030639,498.51983871410647,239.28235838758997,310.09895646670077,1.543298102365382e-05,0.0021263754534335986
37000,0.006235433193341394,433.2459079773245,242.0504785286168,311.88747708928287,1.5578238114643002e-05,0.0024983409542866193
38000,0.0053665295754747435,377.13626219315927,244.81773292408198,313.6652451385899,1.5722702383701866e-05,0.0029297709371723674
39000,0.004626717790115785,328.81959699574804,247.58412198007244,315.4324426769286,1.586638335691205e-05,0.0034292956857684184
40000,0.003995656276775823,287.1421821481316,250.34964610242113,317.18924664001145,1.6009290415301384e-05,0.004006673574089213
41000,0.0034563878413853754,251.13142080636308,253.11430569670728,318.9358290371529,1.6151432796231333e-05,0.004672922582020651
42000,0.0029947474411880733,219.96582663298878,255.8781011682565,320.6723571415187,1.6292819594883632e-05,0.005440465319646441
43000,0.0025988785867236404,192.9502342644767,258.6410329221412,322.3989936710274,1.6433459765832814e-05,0.0063232887637702925
44000,0.0022588375441985153,169.49528704251355,261.4031013631806,324.11589696045866,1.6573362124692546e-05,0.007337120001063705
45000,0.0019662686791414754,149.10042843243352,264.1643068959409,325.8232211252858,1.6712535349825033e-05,0.008499619368967502
46000,0.001714137576596658,131.33976975796367,266.92464992473566,327.52111621771337,1.6850987984103474e-05,0.009830592488124753
47000,0.0014965111901401062,115.85032428841292,269.6841308536258,329.2097283753692,1.698872843671899e-05,0.011352222789011336
48000,0.0013166973224799268,102.29534637604866,270.65,329.79873100377444,1.703678352542704e-05,0.012939028001772797
49000,0.0011627691079335162,90.33653112273377,270.65,329.79873100377444,1.703678352542704e-05,0.014651905876399628
50000,0.001026875689818736,79.77885470087064,270.65,329.79873100377444,1.703678352542704e-05,0.01659089186192963
51000,0.0009068993840302901,70.4577924126659,270.65,329.79873100377444,1.703678352542704e-05,0.018785748259873135
52000,0.0008056110427520474,62.21430390978315,269.03138187601166,328.81107402672006,1.695620623029285e-05,0.02104763382136467
53000,0.0007179024688565695,54.87330289390592,266.27706507538653,327.12357610403603,1.6818566947828213e-05,0.02342737025910467
54000,0.000638999964025973,48.337285101869405,263.5236075532939,325.42785837309225,1.6680302782862553e-05,0.02610376169314551
55000,0.0005680952106206402,42.52480478055765,260.7710089076863,323.7237914142945,1.6541406616389017e-05,0.029117313976855467
56000,0.0005044470177721392,37.36195493752433,258.0192687367666,322.01124242589134,1.640187122597191e-05,0.03251455682781081
57000,0.0004473763424423582,32.781735472523906,255.2683866389887,320.2900750991012,1.6261689284714723e-05,0.03634901478235843
58000,0.00039626163504921175,28.72346866770974,252.51836221305655,318.5601494872521,1.6120853360286147e-05,0.04068234705154865
59000,0.00035053449144448846,25.132258911641365,249.76919505792446,316.82132186857916,1.5979355914012188e-05,0.04558568786815868
60000,0.00030967559388573,21.958493710186964,247.02088477279673,315.07344460230036,1.5837189300043246e-05,0.051141225245820154
61000,0.0002732109244679118,19.157383206834268,244.27343095712743,313.3163659775633,1.56943457646058e-05,0.05744406375832558
62000,0.00024070823527295087,16.68853559615464,241.52683321062023,311.5499300548273,1.555081744534959e-05,0.06460442629939835
63000,0.00021177376025671954,14.515565967530502,238.7810911332282,309.7739764992124,1.540659637080181e-05,0.0727502611849806
64000,0.00018604915462515633,12.605736262063415,236.0362043251537,307.9883404053123,1.526167445994135e-05,0.08203033489020631
65000,0.0001632086481541347,10.929624164132301,233.29217238684808,306.19285211293106,1.5116043521907124e-05,0.092617907769394
66000,0.00014295639958286237,9.460818880662675,230.5489949190115,304.3873370131628,1.4969695255856032e-05,0.10471511103760758
67000,0.00012502403985856095,8.17564188607951,227.80667152259278,302.5716153441868,1.4822621250987521e-05,0.1185581690349814
68000,0.0001091683926318811,7.052890829426482,225.06520179878922,300.7455019761064,1.46748129867535e-05,0.13442364253028238
69000,9.516936099873737e-05,6.073604912506411,222.3245853490463,298.90880618410216,1.4526261833274034e-05,0.15263590803627186
70000,8.282797005579671e-05,5.220850154390391,219.5848217750576,297.0613314091154,1.4376959051981398e-05,0.1735761366878413
71000,7.196455538452299e-05,4.479523058505996,216.84591067876457,295.20287500521437,1.4226895796517184e-05,0.1976930965598223
72000,6.237274503996853e-05,3.8362193209694158,214.2627511873974,293.43931694204457,1.408461807779978e-05,0.2258136637849487
73000,5.382349356509483e-05,3.280192445560448,212.30760309162108,292.09743152992456,1.3976442663984157e-05,0.2596717852786881
74000,4.6384915776815784e-05,2.800834879155423,210.35306305656277,290.74977325726024,1.3867876715563846e-05,0.2989738470646382
75000,3.992078021996827e-05,2.388123692544018,208.39913079860182,289.39626127809885,1.3758916982087997e-05,0.3446555129001668
76000,3.431056205027521e-05,2.033273452665651,206.4458060342938,288.03681287337264,1.3649560188812466e-05,0.3978238586943515
77000,2.9447749428321824e-05,1.7285925486391605,204.4930884803706,286.67134338966645,1.3539803037228115e-05,0.45979075821006554
78000,2.5238319718083196e-05,1.467355125656059,202.54097785374015,285.29976617538887,1.3429642205650092e-05,0.5321131658391579
79000,2.159936976561614e-05,1.2436870492387664,200.58947387148632,283.9219925142119,1.3319074349872586e-05,0.6166418045713126
80000,1.845788586788023e-05,1.0524644697315866,198.63857625086885,282.53793155563386,1.3208096103893723e-05,0.7155801156446628
